A	@@@noun::e
Achromycin	@@@noun::EkromAisina
Acinonyx	@@@noun::Esinoniksa
Acre	@@@noun::ekara
ActiveX	@@@noun::Ektiva-eksa
Adam	@@@noun::Edama/Axama
Adhan	@@@noun::ajZAna
Adrenalin	@@@noun::Edrinalina
Advent	@@@noun::IsA_masIha_kA_xubArA_Agamana/IsA_masIha_kA_pqWvI_para_Agamana
Afghan	@@@noun::aPZagAnI/aPZagAn/aPagAnavAsI/aPagAniswAnI_BARA
Afghani	@@@noun::aPZagAnI
Afghanistani	@@@noun::aPZagAnIvAsI
Africa	@@@noun::aPZrIkA
African	@@@adjective::aPZrIkI/aPrIkI@@@noun::aPZrIkI/aPrarIkI_loga
Afrikander	@@@noun::aPZrikEnI
Afrikaner	@@@noun::aPZrikEnI
Afro	@@@noun::EPZro
Agriculture	@@@noun::kqRi-viBAga
Aids	@@@noun::edsa
Airbus	@@@noun::vAyu-basa/havAI-basa
Akaba	@@@noun::akAbA
Akka	@@@noun::EkA
Akko	@@@noun::Eko
Allah	@@@noun::allAha
Almighty	@@@noun::ISvara
Alsatian	@@@noun::alseSiana/eka_prakAra_kA_kuwwA
America	@@@noun::amarIkA
American	@@@adjective::amarIkI@@@noun::amarIkI/amarIkA_vAsI
Americana	@@@noun::amarIkI_vaswu
Americanise	@@@verb::amarIkIkaraNa_karanA/amarIkana_bananA
Americanism	@@@noun::amarIkIvAxa
Americanize	@@@verb::amarIkIkaraNa_karanA/amarIkana_bananA
Amerindian	@@@noun::amarIkI_nivAsI
Anglicise	@@@verb::AzglIkaraNa_karanA
Anglicize	@@@verb::AzglIkaraNa_karanA
Anglophile	@@@noun::AMglarAgI
Anglophobe	@@@noun::AMgrejZiyawa-viroX/AMglaBIrU
Angola	@@@noun::aMgolA
Angora	@@@noun::aMgorA
Ankara	@@@noun::aMkArA
Antarctic	@@@adjective::xakRiNaXruvIya@@@noun::xakRiNI_Xruva
Antipodean	@@@adjective::prawiXruvasWa
Antipodes	@@@noun::prawiXruva
Apostle	@@@noun::XarmaxUwa
Apr	@@@noun::aprElaa
April	@@@noun::aprEla
Aqaba	@@@noun::akZAbA
Aquarian	@@@adjective::kuMBa_rASi_kA@@@noun::kuMBa_rASi_meM_janmA_vyakwi
Aquarius	@@@noun::kuMBa_rASi_meM_janmA_vyakwi/kuMBa_rASi/kuMBarASi/kuMBa
Arab	@@@adjective::araba@@@noun::arabI_GodZA/arabI
Arabia	@@@noun::arebiyA
Arabian	@@@adjective::arabI
Arabic	@@@adjective::arabI@@@noun::arabI
Arafat	@@@noun::arAPZAwa
Archer	@@@noun::Xanu_rASi/Xanu
Argentina	@@@noun::arjeMtInA
Aries	@@@noun::meRa_rASi/meRa_rARi_meM_janmA_vyakwi
Arikaans	@@@noun::aPZrIkAzsa
Aristotelean	@@@noun::araswUvAxI
Aristotelian	@@@noun::araswUvAxI
Armageddon	@@@noun::mahAyuxXaa/mahAyuxXa
Aryan	@@@noun::Arya
Asamiya	@@@noun::asamiyA
Asean	@@@noun::esIyanaa
Ashoka	@@@noun::aSoka
Asia	@@@noun::eSiyA
Asian	@@@adjective::eSiyAI@@@noun::eSiyAvAsI
Asiatic	@@@adjective::eSiyAI
Assam	@@@noun::AsAma/asama
Assamese	@@@adjective::asamiyA@@@noun::asamiyA/asamiy/AsAmI
Assoc	@@@adjective::saMbaxXa@@@noun::saMGa/sahAyaka
Athens	@@@noun::eWeMsa
Atlantic	@@@adjective::etalAMtikIya@@@noun::etalAMtika
Aug	@@@noun::agaswa
August	@@@noun::agaswa
Aussie	@@@adjective::OYstreliyAI@@@noun::OYstreliyAI
Australia	@@@noun::OYstreliyA
Australian	@@@adjective::OYstreliyAI@@@noun::OYstreliyAI
Austria	@@@noun::OYstriyA
Autocue	@@@noun::xUra_anuboXaka/BARaNa-saMkewana
Av	@@@noun::OYva
Ave	@@@noun::mArgaa
Averroes	@@@noun::averoIjZa
Avestan	@@@noun::aveswI
Avicenna	@@@noun::EvisinA
Azaan	@@@noun::ajZAna/ajAna
BA	@@@noun::kalA-snAwaka/bI_e
BASIC	@@@ACRONYM::besika@@@noun::besika
BBC	@@@noun::bI_bI_sI
BC	@@@noun::IsA_pUrva/I.pU.U
BIN	@@@noun::bina
BRC	@@@noun::bI_Ara_sII/bI_Ara_sI
BS	@@@noun::bI_esa
BSE	@@@noun::bI_esa_I
BSI	@@@noun::bI_esa_AI
BST	@@@noun::bI_esa_tI
BTS	@@@noun::bI_tI_esaa
Ba	@@@noun::bI_e
Babygro	@@@noun::bebIgro
Bakelite	@@@noun::bEkalAita
Baldwin	@@@noun::bAldavina
Bali	@@@noun::bAlI
Baptist	@@@noun::bapawismA-xAwAA
Barcelona	@@@noun::bArsilonA
Bart	@@@noun::upasAmaMw
Beaumont	@@@noun::bomOMta
Belarus	@@@noun::belarUsa
Belarusian	@@@noun::belorUs
Belgium	@@@noun::beljiyama
Belorussia	@@@noun::beloraSiyA
Belorussian	@@@noun::belorUsI
Berlin	@@@noun::barlina
Besos	@@@noun::besasa
Bhutan	@@@noun::BUtAna
Birmingham	@@@noun::baramiMGama
Black	@@@adjective::kAlA
Blackpool	@@@noun::blEkapUla
Blake	@@@noun::bleka
Bligh	@@@noun::blAI
Bodhi	@@@noun::boXi
Bodhivriksha	@@@noun::boXivqkRa
Boer	@@@noun::boara
Bolshevik	@@@adjective::sAmyavAxa-saMbaMXI@@@noun::krAMwikArI_sAmyavAxI
Bolshevism	@@@noun::sAmyavAxa
Bosnia	@@@noun::bosniA
Bradford	@@@noun::brEdaPZorda
Brahmanadi	@@@noun::brahmanaxI
Brandt	@@@noun::brAMta
Brasil	@@@noun::brAjZIla
Brazil	@@@noun::brAjZIla
Brighton	@@@noun::britana
Bristol	@@@noun::bristala
Britain	@@@noun::britena
British	@@@adjective::britena_kA/AMgla_xeSIya@@@noun::britene_vAsI/aMgrejZI
Britisher	@@@noun::britenavAsI
Briton	@@@noun::britenavAsI
Brussels	@@@noun::brUselsa
Buddha	@@@noun::buxXa
Bull	@@@noun::vqRa_rASi_meM_janmA_vyakwi/vqRa_rASi
Burgundy	@@@noun::baragaMdI
Burma	@@@noun::barmA
Burroughs	@@@noun::barojZa
Burundi	@@@adjective::buruMdI_kA@@@noun::buruMdI
Burundian	@@@adjective::buruMdI_kA
Bushman	@@@noun::OYstreliyAI_buSamEna/buSamEna
Byelarus	@@@noun::bAilarUsa
Byelorussia	@@@noun::bAiloraSiyA
Byelorussian	@@@noun::bAilorUsI/bAilorUs
Byzantine	@@@adjective::pecIxA/bAijZEMtInI/bAijZeMtAina
C	@@@noun::C
CA	@@@noun::kEliPZorniyA
CBE	@@@noun::sI_bI_I
CBI	@@@noun::sI_bI_AI
CBS	@@@noun::sI_bI_esa
CD	@@@noun::sI_dII/sI_dI
CFC	@@@noun::sI_ePZa_sI
CIA	@@@noun::sI_AI_e
CID	@@@noun::sI_AI_dI
COM	@@@noun::COM
CONDIR	@@@noun::kandIra
CPCJ	@@@noun::sI_pI_sI_je
CRO	@@@noun::xolana-xarSI
CV	@@@noun::SEkRika_evaM_kAryAnuBava_sAr
CXX	@@@noun::eka_sO_bIsa
Caesarism	@@@noun::wAnASAhI/niraMkuSawA/ekawaMwra
California	@@@noun::kEliPZorniyA
Calvinism	@@@noun::kElvinavAxa
Calvinist	@@@noun::kElvinavAxI
Calvinistic	@@@adjective::kElvinavAxa_saMbaMXI/bahuwa_saKwa
Cambridge	@@@noun::keMbrija
Cameroon	@@@noun::kEmarUna
Cameroun	@@@noun::kEmarUna
Canada	@@@noun::kanAdA
Canadian	@@@adjective::kanAdA_saMbaMXI/kanAdA_kA@@@noun::kEnediyana/kanAdA_vAsI
Canterbury	@@@noun::kEMtarabarI
Capricorn	@@@noun::makara_rASi_meM_uwpanna_vyakwi/makara_rASi/makararASi/makarAkAra_rASicakrIya_wArAmaNdala/makara
Caribbean	@@@noun::kEribiyana
Carmelite	@@@noun::romana_kEWolika_wapasvI/kArmelAita_sAXu
Catalan	@@@adjective::kEtaloniyAI
Catalonia	@@@noun::kEtaloniyA
Caucasian	@@@adjective::saPZexa_nasla_kA@@@noun::kAkeSasI
Caxton	@@@noun::kEksatana
Cd	@@@noun::sI_dI/kEdmiyama
Cdr	@@@noun::kamAMdara
Celt	@@@noun::keltaBARI/kelta
Celtic	@@@adjective::kelta_jAwi_se_saMbaMXiwa@@@noun::kelta_BARA
Cervantes	@@@noun::serventIjZa
Chablis	@@@noun::SEblI
Chang	@@@noun::cAMga
Changjiang	@@@noun::cAMgajyAMga
Chaos	@@@noun::keOYsa
Cheddar	@@@noun::cedara_panIra
Cheshire	@@@noun::ceSara_panIra/ceSara
Chester	@@@noun::cestara
Chicago	@@@noun::SikAgo
China	@@@noun::cIna
Chinese	@@@adjective::cInI/cIna_saMbaMXI@@@noun::cInI_BARA/cInI
Christ	@@@noun::IsA_masIha/IsA
Christianity	@@@noun::IsAIyawaa/IsAI_Xarmaa/IsAI_Xarma/IsAI_viSeRawAA
Christmassy	@@@adjective::krisamasa_jEsA
Christmastide	@@@noun::krisamasa-kAla
Christmastime	@@@noun::krisamasa-kAla
Churchill	@@@noun::carcila
Clark	@@@noun::klArka
Classics	@@@noun::grIka-romaIya_BARA-sAhiwya_kA_aXyayana
Cleveland	@@@noun::klIvalEMda
Clinton	@@@noun::kliMtana
Co	@@@noun::sI_o
Collins	@@@noun::kaliMjZa
Commons	@@@noun::lokasaBA
Commonwealth	@@@noun::rARtramaMdala
Conservatism	@@@noun::anuxAravAxa
Conservative	@@@noun::anuxAravAxI
Cornish	@@@adjective::kArnavala_saMbaMXI@@@noun::karniSa_BARA
Cornwall	@@@noun::karnavala
Council	@@@noun::pariRaxa/pariRax
Covenant	@@@noun::ISvara_Ora_mAnava_ke_bIca_kA_samaJOwA
Coventry	@@@noun::koveMtrI
Craigie	@@@noun::kregI
Crookes	@@@noun::kruksa
Crotonbug	@@@noun::krotanabaga
Cuba	@@@noun::kyUbA
Czechoslovakia	@@@noun::cekoslovAkiA
D	@@@noun::dI
DA	@@@noun::jZilA_aXivakwA
DC	@@@noun::dI_sI
DES	@@@noun::dI_I_esa_a
DNA	@@@noun::dI_ena_e
DOS	@@@noun::dasa
DVD	@@@noun::dI_vI_dI
Dacron	@@@noun::dEkarana
Dafla	@@@noun::dapZalA
Dane	@@@noun::denmArka_vAsI
Danish	@@@adjective::denmArka_k@@@noun::deniSa_pestrI
Darlington	@@@noun::dArliMgatana
Darwin	@@@noun::dArvina
December	@@@noun::xisambara
Deliverer	@@@noun::uxXArakarwA/mukwixAwA
Dem	@@@noun::lokawaMwravAxI
Denmark	@@@noun::denmArka
Derby	@@@noun::dArbI_
Deutschmark	@@@noun::jarmanI_kI_muxrA
Devon	@@@noun::dIvOna
Dewar	@@@noun::dyUara
Dickensian	@@@adjective::dikansa_ke_upanyAsoM_jesA
Dipper	@@@noun::sapwarRi
Discomfort	@@@noun::asuviXA
Disney	@@@noun::dijZnI
Disneyland	@@@noun::dijZnIlENda
Dissenter	@@@noun::BinnamawAvalaMbI
DoT	@@@noun::parivahana_viBAga
Dominican	@@@adjective::saMwa_daminika_se_saMbaMXiwa/daminika_kA@@@noun::daminikI
Dominion	@@@noun::svawaMwra-upaniveSa
Druid	@@@noun::purohiwa
Dublin	@@@noun::dablina
Dumpster	@@@noun::tokarA
Durham	@@@noun::darahamaa
Dutch	@@@adjective::hAlEMda_kA/daca_saMbaMXI@@@noun::daca_nivAsI/daca_BARA/daca
E	@@@noun::aMgrejI_varNamAlA_kA_pAzcavA_akRara
ECG	@@@noun::I_sI_jI
ECOSOC	@@@noun::ikosaka/Ikosak
EU	@@@noun::yUropIya_saMGa
Easter	@@@noun::Istara/Istara{IsA_masIha_ke_punaruwWAna_xina}
Edinburgh	@@@noun::edinabarA
Egypt	@@@noun::misra/ijipta
Egyptian	@@@adjective::misra_saMbaMXI@@@noun::misrI_BARA/misra_vAsI
Elizabethan	@@@adjective::elijZAbeWa-yugIna/elijZabeWa_kA@@@noun::elijZAbeWa-kAla_meM_janmA_vyakwi/rAnI_elijabeWa_kAla_ke_vyakwi
Emerita	@@@adjective::avakASaprApwa
Endesa	@@@noun::eMdesA
England	@@@noun::iMglEMda
English	@@@adjective::aMgrejI/aMgreja_kA@@@noun::aMgrejI_BARA/aMgrejIa/aMgreja
Englishman	@@@noun::aMgarejZa
Englishwoman	@@@noun::aMgarejZa_mahilA
Epicurean	@@@adjective::epikyurasa_saMbaMXI
Epistle	@@@noun::Xarmapawra
Er	@@@noun::ara
Eskimo	@@@noun::eskimo
Espana	@@@noun::spena
Essex	@@@noun::esEksa
Esthonia	@@@noun::estoniyA
Estonia	@@@noun::estoniyA
Ethiopia	@@@noun::iWiyopiyA
Euro	@@@adjective::yUro
Eurocrat	@@@noun::yUropIya_praSAsanAXikArI
Europe	@@@noun::yUropIya_saMGa/yUropa
European	@@@adjective::yUropIya/yuropIya@@@noun::yUropIya_saMGa_kA_samarWaka/yUropavAsI
Eve	@@@noun::hOvA
Excellency	@@@noun::mahAmahima
Expressionism	@@@noun::aBivyaMjanAvAxa
F	@@@noun::ePZa
FORTRAN	@@@noun::kampyUtara_nirxeSa_kI_BARA
Falkner	@@@noun::PZOknara
Farsi	@@@noun::PZArasI
Fascist	@@@noun::PZasistavAxI
Father	@@@noun::parama_piwA
Faulkner	@@@noun::PZOknara
Feb	@@@noun::ParavarII
February	@@@noun::PZaravarI
Ford	@@@noun::Porda
Formica	@@@noun::PZarmAikA
France	@@@noun::PZrAMsa
Freefone	@@@noun::PrIPona
Freemason	@@@noun::gupwa_saMsWA_kA_saxasya/anwarrARtriya_gupwa_saBA_kA_saxasya
Freemassonry	@@@noun::gupwa_saMsaxa
Freepost	@@@noun::niHSulka_dAka
French	@@@adjective::PZrAMsIsI@@@noun::PZrAMsIsI_BARA/PZrAMsavAsI
Frenchman	@@@noun::PrAMsIsI_vyakwi
Frenwoman	@@@noun::PrAMsIsI_mahilA
Freudian	@@@adjective::PZrAyadI
Friday	@@@noun::SukravAra
Friend	@@@noun::sosAitI_OYPZa_PZrendjZa_kA_saxasya
Friesian	@@@noun::PZrIjZana_gAya
Frisbee	@@@noun::PZrijZbI
Fulbright	@@@noun::PZulabrAita
G	@@@noun::eka_hajZAra
GB	@@@noun::jI_bI
GM	@@@noun::gI_ema
GMT	@@@noun::jI_ema_tI
GNP	@@@noun::kula_rARtrIya_uwpAxana
GP	@@@noun::daktara
Gaelic	@@@adjective::AyaralEMdZa_Ora_skAtalEMdZa_kI_BARA@@@noun::kelta_BARA
Gallic	@@@adjective::PZrAnsIsI/PrAMsIsi_jEsA
Gamma	@@@noun::gAmA
Gates	@@@noun::getsa
Gautama	@@@noun::gOwama
Gemini	@@@noun::miWunaa/miWuna
Geneva	@@@noun::jenIvA
Gentile	@@@adjective::gEra-yahUxI_saMbaMXI@@@noun::gEra-yahUxI
George	@@@noun::jarja
Georgian	@@@adjective::jarjakAlIna/britiSa_bAxaSAha_jorja_ke_samaya_kA
German	@@@adjective::jarmanI_kA/jarmanI_se@@@noun::jarmanI_vAsI/jarmana_BARA/jarmana_xeSa_kA_nivAsI
Germanic	@@@adjective::jarmanika_BARA-parivAra_saMbaMXI/jarmanI_jEsA
Germany	@@@noun::jarmanI
Gestapo	@@@noun::nAjZI_pArtI_kI_KuPiyA_pulisa
Gipsy	@@@adjective::jipsI@@@noun::KAnAbaxoSa/jipsI
Giza	@@@noun::gIjZA
Gizeh	@@@noun::gIjZA
Gladstone	@@@noun::glEdastanaa/glEdastana
Glasgow	@@@noun::glAsago
Gloucester	@@@noun::glUsestara
Gloucestershire	@@@noun::glOstershara
God	@@@INDC::he_BagavAna@@@noun::ISvara/BagavAna
Godfather	@@@noun::saraganA
Gogh	@@@noun::gO
Goliath	@@@noun::samrAta/goliyaWa
Gospel	@@@noun::IsopaxeSa/IsA_cariwa
Gothic	@@@adjective::gaWika_BARA_saMbaMXI/gaWika_akRara_saMbaMXI/gaWa_logoM_se_saMbaMXiwa@@@noun::gaWika_vAswukalA/gaWika_BARA
Grecian	@@@adjective::yUnAnI@@@noun::yUnAnI
Greece	@@@noun::yUnAna
Greek	@@@adjective::yUnAna_saMbaMXI@@@noun::yUnAnI_BARA/yUnAna_vAsI
Gregorian	@@@adjective::gregarI_saMbaMXI
Grey	@@@noun::gre
Grimm	@@@noun::grima
Grundyism	@@@noun::kapatalajjASIlawA
Gujarati	@@@adjective::gujarAwI@@@noun::gujarAwI
Gujerati	@@@adjective::gujarAwI@@@noun::gujarAwI
Gypsy	@@@adjective::jipsI@@@noun::KAnAbaxoSa/jipsI_BARA/jipsI
H	@@@noun::eca
HIV	@@@noun::eca_AI_vII
HP	@@@noun::harsapavara/aSvaSakwi[iMjana_kI]
HQ	@@@noun::muKyAlaya
Ha	@@@noun::eca_e
Habegger	@@@noun::Habegger
Halloween	@@@noun::hEloIna/hElovIna/31_akwUbara_meM_mqwakoM_ke_AwmA_kA_uTane_kA_xivasa
Hammurabi	@@@noun::hamurAbI
Hammurapi	@@@noun::hamurApI
Hampshire	@@@noun::hEMpSara
Hanumana	@@@noun::hanumAna
Harijan	@@@noun::aCUwa
Harrison	@@@noun::hErisana
Harvey	@@@noun::hArvI
Headquarters	@@@noun::muKyAlaya
Heisenberg	@@@noun::hAijZanabarga
Hephaestus	@@@noun::hiPZEstasa
Hephaistos	@@@noun::hiPZEstasa
Herbicide	@@@noun::pOXanASaka_paxArWa
Hesperian	@@@adjective::paScimI
Hesperus	@@@noun::Sukra_graha
Hestia	@@@noun::hestiyA
Highland	@@@adjective::skatalENda_kA_parvawIya
Highness	@@@noun::rAjaGarAne_kI_upAXi
Himalaya	@@@noun::himAlaya
Himalayas	@@@noun::himAlaya
Hindi	@@@adjective::hiMxI@@@noun::hiMxI/hinxI
Hindu	@@@adjective::hiMxU@@@noun::hiMx/BArawIya
Hinduism	@@@noun::hinxuwva/hiMxU_Xarma/hinxuwva
Hispanic	@@@adjective::spenI@@@noun::spenI
Holland	@@@noun::halEMda
Hollywood	@@@noun::halIvuda
Holstein	@@@noun::PZrIjZana_gAya
Homer	@@@noun::homara
Hoover	@@@noun::nirvAwa_mArjaka/hUvara
Hugo	@@@noun::hyUgo
Hungarian	@@@adjective::haMgeriyAI@@@noun::haMgeriyAII/haMgarIvAsI
Hungary	@@@noun::haMgarI
I	@@@adjective::I/eka@@@noun::AI@@@number::I@@@pronoun::muJe/mEM/mEz{sarvanAma}
IBM	@@@noun::Ai_bI_ema/eka_bahu_rARtrIya_kaMpanI
IBRD	@@@noun::punarnirmANa_evaM_vikAsa_aMwarrARtrIya_bEMka
ICT	@@@noun::Ai_sI_tII
ICU	@@@noun::awixakRawA_viBAga
ID	@@@noun::pahacAna-pawra
II	@@@number::II
III	@@@number::III
IL	@@@noun::unacAsa
IMF	@@@noun::aMwarrARtrIya_viwwIya_niXi/International_monetary_fund
IQ	@@@noun::bOxXika_swara
ITU	@@@noun::AI_tI_yU
ITV	@@@noun::AI_tI_vI
IUD	@@@noun::aMwargarBASayI_yaMwra
IXL	@@@noun::unawAlIsa
Ibrahim	@@@noun::ibrAhima
Imam	@@@noun::imAma
Imprecation	@@@noun::aBicAra
Impressionism	@@@noun::praBAvavAxa
Impressionist	@@@adjective::praBAvavAxI@@@noun::praBAvavAxI_ciwrakAra
Indelicate	@@@adjective::rUKA/aBaxra
India	@@@noun::BArawa
Indian	@@@adjective::BArawIya/BArawa_saMbaMXI@@@noun::BArawIya/BArawa_vAsI
Indo	@@@adjective::BArawIya-
Indonesia	@@@noun::iMdoneSiyA
Indra	@@@noun::inxra/iMxra
Infuriating	@@@adjective::kroXiwa_karane_vAlA
Ingratiate	@@@verb::anugraha_prApwa_karanA
Innovative	@@@adjective::navapravarwanaSIla
Inuit	@@@noun::inUita_BARA/inUita
Ipswich	@@@noun::ipsavica
Iran	@@@noun::IrAna
Irani	@@@noun::IrAnI
Iranian	@@@adjective::IrAnI/IrAna_kA@@@noun::IrAnI_BARA/IrAnI/IrAna_vAsI
Iraq	@@@noun::IrAka
Iraqi	@@@adjective::IrAkZa_saMbaMXI/IrAkI@@@noun::IrAkZa_vAsI/IrAkI_BARA/IrAka_vAsI
Ireland	@@@noun::AyaralEMda
Irish	@@@adjective::AyaralEMda_saMbaMXI/AyaralEMda_kA/AyaralEMda_ke@@@noun::AyariSa/AyaralENdavAsI/AyaralEMdavAsI
Irishman	@@@noun::AyaralEMda_nivAsI_purURa
Irishwoman	@@@noun::AyaralEMda_nivAsI_mahilA
Irving	@@@noun::arviMga
Islam	@@@noun::musalamAna/isalAma/islAma
Islamic	@@@adjective::islAmI
Israel	@@@noun::ijZarAila
Israeli	@@@adjective::ijZarAila_saMbaMXI@@@noun::ijZarAila_vAsI
Italian	@@@adjective::italI_saMbaMXI@@@noun::iwAlavI_BARA/italI_vAsI
Ithaca	@@@noun::iWAkA
Ithaki	@@@noun::iWAkI
JP	@@@noun::nyAyAXISa
Jacobean	@@@adjective::jemsa_praWama_kAlIna/rAjA_jemsa_kA_SAsanakAla{IMglEMda-1603-25}
Jacuzzi	@@@noun::Kanija_jalIya_snAna-taba/bahuwa_badZA_snAnagqha
Jahvey	@@@noun::jAhve
Jahweh	@@@noun::jAhve
Jan	@@@noun::janavarI
January	@@@noun::janavarI
Japan	@@@noun::jApAna
Japanese	@@@adjective::jApAnI@@@noun::jApAnI/jApAnavAsI
Jehovah	@@@noun::jihovA/bAIbala_meM_ISvara_kA_nAma
Jersey	@@@noun::eka_nasla_kI_gAya_jo_aXika_xUXa_xewI_hE
Jesuit	@@@noun::jejZuita/IsA_masIha_kI_royala_keWolika_samAja_kA_saxasya
Jesus	@@@noun::IsA_masIha
Jew	@@@noun::yahUxI
Jewess	@@@noun::yahUxI_mahilA
Jewish	@@@adjective::yahUxI
Jewry	@@@noun::yahUxI_samuxAya
Jnr	@@@adjective::kniRTa
Jordan	@@@noun::jardana
Jr	@@@adjective::kniRTa
Judaic	@@@adjective::yahUxIvAxa_saMbaMXI
Judaical	@@@adjective::yahUxIvAxa_saMbaMXI
Judaism	@@@noun::yahuxI_Xarma
Judas	@@@noun::viSvAsaGAwI/jUdasa/XoKebAja
Juglandaceae	@@@noun::kARTaPala_vaMSa
Jugoslavija	@@@noun::yUgoslAviyA
July	@@@noun::julAI
June	@@@noun::jUna/jUna{sAla_kA_CatA_mahInA}
Junior	@@@adjective::kniRTa
Juniper	@@@noun::jUnipara
Jupiter	@@@noun::bqhaspawi
K	@@@noun::kelvina/ke/eka_hajZAra
KC	@@@noun::rAj-aXivakwA/rAjasaBA
KO	@@@noun::acewa_kara_xene_vAlA_prahAra/acewa_honA
KW	@@@noun::kilovata
Kellog	@@@noun::kelOga
Kellogg	@@@noun::kelOga
Kelvin	@@@noun::kelvina
Kenya	@@@noun::kenyA
Kitemark	@@@noun::pawaMga_cinha
Klaxon	@@@noun::BoMpU
Kleenex	@@@noun::kAgajZa_kA_rumAla
Koran	@@@noun::kurAna
Koranic	@@@adjective::kurAna_saMbaMXI
Korea	@@@noun::koriyA
Korean	@@@adjective::koriyAI@@@noun::koriyA_vAsI/koriyAI_BARA
Kr	@@@noun::kriptana
Kremlin	@@@noun::kremlina/rUsI_sarakAra_kA_kilA
Kumbha	@@@noun::kuMBa
Kuwait	@@@noun::kuvEwa
L	@@@noun::pacAsa
LAN	@@@noun::sWAnIya_kRewra_waMwra
LC	@@@noun::ela_sI
LCD	@@@noun::laGuwwama/ela_sI_dI
LI	@@@noun::iMkyAvana
LII	@@@noun::bAvana
LIII	@@@noun::wrepana
LISP	@@@noun::lispa
LP	@@@noun::ela_pI
LSD	@@@noun::ela_esa_dI
LTTE	@@@noun::ela_tI_tI_I
LXX	@@@noun::sawwara
LXXXVI	@@@noun::CiyAsI
Labor	@@@noun::majaxUra_xala
Labour	@@@noun::majaxUra_xala
Labrador	@@@noun::lEbradara
Lancashire	@@@noun::laMkASAyara
Lancaster	@@@noun::lEMkAstara
Landrover	@@@noun::lEMdarovara
Latin	@@@adjective::lEtina_saMbaMXI/lEtina@@@noun::lEtina_BARAA/lEtinaa/lEtina
Latino	@@@adjective::spenI@@@noun::lAwIno
Laundromat	@@@noun::maSiNI_XulAI_Gara
Laureate	@@@noun::rAjakavi
Lebanese	@@@adjective::lebanAnI/lebanAna_kA@@@noun::lebanAnavAsI
Lebanon	@@@noun::lebanAna
Lego	@@@noun::lego
Leicester	@@@noun::lIsestara
Lent	@@@noun::cAlIsA
Leo	@@@noun::siMha_rASi
Lewis	@@@noun::lUIsa
Li	@@@noun::lIWiyama
Libra	@@@noun::wulA_rASi_meM_janmA_vyakwi/wulA_rASi/wulA
Libran	@@@adjective::wulA_rASi_saMbaMXI
Libritabs	@@@noun::libritEbsa
Librium	@@@noun::libriyama
Lidocaine	@@@noun::lAidokena
Lietuva	@@@noun::lItuvA
Lilliputian	@@@adjective::awi_laGu
Lilongwe	@@@noun::lilOMgve
Lincoln	@@@noun::liMkana
Lithuania	@@@noun::liWUAniyA
Liverpool	@@@noun::livarapUla
Loafer	@@@noun::loPZara_jUwA
Lohit	@@@noun::lohiwa
London	@@@noun::laMxana
Lot	@@@noun::lata
Lothian	@@@noun::loIana
Lowell	@@@noun::lovela
Lowry	@@@noun::lAurI
Loyalist	@@@noun::layalista
Lt	@@@noun::lePZtineMta
Lucite	@@@noun::lyUsAita
Lycra	@@@noun::lAikrA
M	@@@noun::eka_hajZAra
MA	@@@noun::em_ee
MB	@@@noun::megAbAita/cikiwsA_meM_snAwaka
